contact_id,account_id,is_primary_contact
CON000001,ACC00001,False
CON000002,ACC00001,True
CON000003,ACC00001,False
CON000004,ACC00002,False
CON000005,ACC00002,True
CON000006,ACC00003,True
CON000007,ACC00003,False
CON000008,ACC00003,False
CON000009,ACC00004,False
CON000010,ACC00004,False
CON000011,ACC00004,True
CON000012,ACC00005,True
CON000013,ACC00005,False
CON000014,ACC00006,True
CON000015,ACC00006,False
CON000016,ACC00006,False
CON000017,ACC00007,True
CON000018,ACC00007,False
CON000019,ACC00008,False
CON000020,ACC00008,False
CON000021,ACC00008,False
CON000022,ACC00008,True
CON000023,ACC00009,False
CON000024,ACC00009,False
CON000025,ACC00009,True
CON000026,ACC00009,False
CON000027,ACC00010,True
CON000028,ACC00010,False
CON000029,ACC00011,False
CON000030,ACC00011,False
CON000031,ACC00011,True
CON000032,ACC00012,True
CON000033,ACC00012,False
CON000034,ACC00013,False
CON000035,ACC00013,True
CON000036,ACC00013,False
CON000037,ACC00014,False
CON000038,ACC00014,True
CON000039,ACC00015,True
CON000040,ACC00015,False
CON000041,ACC00015,False
CON000042,ACC00016,False
CON000043,ACC00016,True
CON000044,ACC00017,False
CON000045,ACC00017,True
CON000046,ACC00018,False
CON000047,ACC00018,True
CON000048,ACC00019,False
CON000049,ACC00019,False
CON000050,ACC00019,False
CON000051,ACC00019,True
CON000052,ACC00020,False
CON000053,ACC00020,True
CON000054,ACC00021,True
CON000055,ACC00021,False
CON000056,ACC00022,True
CON000057,ACC00022,False
CON000058,ACC00023,True
CON000059,ACC00023,False
CON000060,ACC00024,True
CON000061,ACC00024,False
CON000062,ACC00025,False
CON000063,ACC00025,True
CON000064,ACC00026,True
CON000065,ACC00026,False
CON000066,ACC00027,True
CON000067,ACC00027,False
CON000068,ACC00028,False
CON000069,ACC00028,True
CON000070,ACC00029,False
CON000071,ACC00029,True
CON000072,ACC00030,False
CON000073,ACC00030,True
CON000074,ACC00030,False
CON000075,ACC00031,True
CON000076,ACC00031,False
CON000077,ACC00031,False
CON000078,ACC00031,False
CON000079,ACC00032,True
CON000080,ACC00032,False
CON000081,ACC00032,False
CON000082,ACC00033,False
CON000083,ACC00033,True
CON000084,ACC00034,True
CON000085,ACC00034,False
CON000086,ACC00035,False
CON000087,ACC00035,True
CON000088,ACC00036,False
CON000089,ACC00036,True
CON000090,ACC00037,True
CON000091,ACC00037,False
CON000092,ACC00038,False
CON000093,ACC00038,False
CON000094,ACC00038,True
CON000095,ACC00038,False
CON000096,ACC00039,False
CON000097,ACC00039,True
CON000098,ACC00039,False
CON000099,ACC00040,False
CON000100,ACC00040,True
CON000101,ACC00040,False
CON000102,ACC00041,False
CON000103,ACC00041,False
CON000104,ACC00041,True
CON000105,ACC00042,True
CON000106,ACC00042,False
CON000107,ACC00043,False
CON000108,ACC00043,True
CON000109,ACC00044,False
CON000110,ACC00044,True
CON000111,ACC00045,True
CON000112,ACC00045,False
CON000113,ACC00045,False
CON000114,ACC00045,False
CON000115,ACC00046,False
CON000116,ACC00046,True
CON000117,ACC00047,False
CON000118,ACC00047,True
CON000119,ACC00048,True
CON000120,ACC00048,False
CON000121,ACC00048,False
CON000122,ACC00049,False
CON000123,ACC00049,False
CON000124,ACC00049,False
CON000125,ACC00049,True
CON000126,ACC00050,True
CON000127,ACC00050,False
CON000128,ACC00051,True
CON000129,ACC00051,False
CON000130,ACC00052,False
CON000131,ACC00052,True
CON000132,ACC00053,False
CON000133,ACC00053,False
CON000134,ACC00053,True
CON000135,ACC00054,False
CON000136,ACC00054,False
CON000137,ACC00054,True
CON000138,ACC00055,False
CON000139,ACC00055,True
CON000140,ACC00055,False
CON000141,ACC00056,True
CON000142,ACC00056,False
CON000143,ACC00056,False
CON000144,ACC00057,True
CON000145,ACC00057,False
CON000146,ACC00058,False
CON000147,ACC00058,True
CON000148,ACC00059,True
CON000149,ACC00059,False
CON000150,ACC00060,False
CON000151,ACC00060,True
CON000152,ACC00061,True
CON000153,ACC00061,False
CON000154,ACC00062,True
CON000155,ACC00062,False
CON000156,ACC00062,False
CON000157,ACC00062,False
CON000158,ACC00063,True
CON000159,ACC00063,False
CON000160,ACC00063,False
CON000161,ACC00064,True
CON000162,ACC00064,False
CON000163,ACC00064,False
CON000164,ACC00065,True
CON000165,ACC00065,False
CON000166,ACC00066,False
CON000167,ACC00066,True
CON000168,ACC00067,False
CON000169,ACC00067,True
CON000170,ACC00068,False
CON000171,ACC00068,True
CON000172,ACC00069,True
CON000173,ACC00069,False
CON000174,ACC00070,True
CON000175,ACC00070,False
CON000176,ACC00070,False
CON000177,ACC00071,False
CON000178,ACC00071,True
CON000179,ACC00072,False
CON000180,ACC00072,False
CON000181,ACC00072,False
CON000182,ACC00072,True
CON000183,ACC00073,False
CON000184,ACC00073,True
CON000185,ACC00074,True
CON000186,ACC00074,False
CON000187,ACC00075,True
CON000188,ACC00075,False
CON000189,ACC00075,False
CON000190,ACC00075,False
CON000191,ACC00076,False
CON000192,ACC00076,True
CON000193,ACC00077,True
CON000194,ACC00077,False
CON000195,ACC00078,True
CON000196,ACC00078,False
CON000197,ACC00078,False
CON000198,ACC00079,True
CON000199,ACC00079,False
CON000200,ACC00079,False
CON000201,ACC00080,True
CON000202,ACC00080,False
CON000203,ACC00081,False
CON000204,ACC00081,False
CON000205,ACC00081,True
CON000206,ACC00082,True
CON000207,ACC00082,False
CON000208,ACC00083,False
CON000209,ACC00083,True
CON000210,ACC00084,False
CON000211,ACC00084,True
CON000212,ACC00085,True
CON000213,ACC00085,False
CON000214,ACC00085,False
CON000215,ACC00086,False
CON000216,ACC00086,False
CON000217,ACC00086,True
CON000218,ACC00086,False
CON000219,ACC00087,True
CON000220,ACC00087,False
CON000221,ACC00087,False
CON000222,ACC00087,False
CON000223,ACC00088,False
CON000224,ACC00088,True
CON000225,ACC00089,False
CON000226,ACC00089,True
CON000227,ACC00090,True
CON000228,ACC00090,False
CON000229,ACC00091,False
CON000230,ACC00091,True
CON000231,ACC00092,False
CON000232,ACC00092,True
CON000233,ACC00093,False
CON000234,ACC00093,True
CON000235,ACC00094,True
CON000236,ACC00094,False
CON000237,ACC00095,False
CON000238,ACC00095,True
CON000239,ACC00096,False
CON000240,ACC00096,True
CON000241,ACC00097,False
CON000242,ACC00097,False
CON000243,ACC00097,True
CON000244,ACC00097,False
CON000245,ACC00098,True
CON000246,ACC00098,False
CON000247,ACC00099,True
CON000248,ACC00099,False
CON000249,ACC00099,False
CON000250,ACC00100,False
CON000251,ACC00100,True
CON000252,ACC00101,False
CON000253,ACC00101,True
CON000254,ACC00102,True
CON000255,ACC00102,False
CON000256,ACC00102,False
CON000257,ACC00103,True
CON000258,ACC00103,False
CON000259,ACC00104,True
CON000260,ACC00104,False
CON000261,ACC00105,True
CON000262,ACC00105,False
CON000263,ACC00106,False
CON000264,ACC00106,False
CON000265,ACC00106,True
CON000266,ACC00107,False
CON000267,ACC00107,True
CON000268,ACC00108,True
CON000269,ACC00108,False
CON000270,ACC00109,False
CON000271,ACC00109,False
CON000272,ACC00109,True
CON000273,ACC00109,False
CON000274,ACC00110,True
CON000275,ACC00110,False
CON000276,ACC00111,True
CON000277,ACC00111,False
CON000278,ACC00112,False
CON000279,ACC00112,True
CON000280,ACC00113,True
CON000281,ACC00113,False
CON000282,ACC00114,True
CON000283,ACC00114,False
CON000284,ACC00114,False
CON000285,ACC00115,True
CON000286,ACC00115,False
CON000287,ACC00116,False
CON000288,ACC00116,True
CON000289,ACC00117,False
CON000290,ACC00117,True
CON000291,ACC00118,False
CON000292,ACC00118,True
CON000293,ACC00119,False
CON000294,ACC00119,True
CON000295,ACC00120,False
CON000296,ACC00120,True
CON000297,ACC00121,True
CON000298,ACC00121,False
CON000299,ACC00122,True
CON000300,ACC00122,False
CON000301,ACC00123,False
CON000302,ACC00123,True
CON000303,ACC00124,False
CON000304,ACC00124,True
CON000305,ACC00125,True
CON000306,ACC00125,False
CON000307,ACC00125,False
CON000308,ACC00126,False
CON000309,ACC00126,True
CON000310,ACC00127,True
CON000311,ACC00127,False
CON000312,ACC00128,True
CON000313,ACC00128,False
CON000314,ACC00129,False
CON000315,ACC00129,True
CON000316,ACC00129,False
CON000317,ACC00130,False
CON000318,ACC00130,True
CON000319,ACC00131,True
CON000320,ACC00131,False
CON000321,ACC00132,False
CON000322,ACC00132,True
CON000323,ACC00133,True
CON000324,ACC00133,False
CON000325,ACC00133,False
CON000326,ACC00134,True
CON000327,ACC00134,False
CON000328,ACC00135,False
CON000329,ACC00135,True
CON000330,ACC00136,True
CON000331,ACC00136,False
CON000332,ACC00136,False
CON000333,ACC00137,False
CON000334,ACC00137,True
CON000335,ACC00138,False
CON000336,ACC00138,True
CON000337,ACC00139,True
CON000338,ACC00139,False
CON000339,ACC00140,True
CON000340,ACC00140,False
CON000341,ACC00141,False
CON000342,ACC00141,True
CON000343,ACC00142,False
CON000344,ACC00142,True
CON000345,ACC00143,False
CON000346,ACC00143,True
CON000347,ACC00144,True
CON000348,ACC00144,False
CON000349,ACC00144,False
CON000350,ACC00145,False
CON000351,ACC00145,True
CON000352,ACC00146,True
CON000353,ACC00146,False
