date,from_currency,to_currency,rate,source,is_month_end,is_quarter_end,created_at
2025-01-01,USD,USD,1.0,ECB,False,False,2025-06-30T23:59:00Z
2025-01-01,EUR,USD,1.0429,ECB,False,False,2025-06-30T23:59:00Z
2025-01-01,GBP,USD,1.2444,BoE,False,False,2025-06-30T23:59:00Z
2025-01-02,USD,USD,1.0,ECB,False,False,2025-06-30T23:59:00Z
2025-01-02,EUR,USD,1.0388,ECB,False,False,2025-06-30T23:59:00Z
2025-01-02,GBP,USD,1.2505,BoE,False,False,2025-06-30T23:59:00Z
2025-01-03,USD,USD,1.0,ECB,False,False,2025-06-30T23:59:00Z
2025-01-03,EUR,USD,1.0441,ECB,False,False,2025-06-30T23:59:00Z
2025-01-03,GBP,USD,1.2462,BoE,False,False,2025-06-30T23:59:00Z
2025-01-06,USD,USD,1.0,ECB,False,False,2025-06-30T23:59:00Z
2025-01-06,EUR,USD,1.0446,ECB,False,False,2025-06-30T23:59:00Z
2025-01-06,GBP,USD,1.2477,BoE,False,False,2025-06-30T23:59:00Z
2025-01-07,USD,USD,1.0,ECB,False,False,2025-06-30T23:59:00Z
2025-01-07,EUR,USD,1.0359,ECB,False,False,2025-06-30T23:59:00Z
2025-01-07,GBP,USD,1.2469,BoE,False,False,2025-06-30T23:59:00Z
2025-01-08,USD,USD,1.0,ECB,False,False,2025-06-30T23:59:00Z
2025-01-08,EUR,USD,1.0377,ECB,False,False,2025-06-30T23:59:00Z
2025-01-08,GBP,USD,1.2488,BoE,False,False,2025-06-30T23:59:00Z
2025-01-09,USD,USD,1.0,ECB,False,False,2025-06-30T23:59:00Z
2025-01-09,EUR,USD,1.042,ECB,False,False,2025-06-30T23:59:00Z
2025-01-09,GBP,USD,1.253,BoE,False,False,2025-06-30T23:59:00Z
2025-01-10,USD,USD,1.0,ECB,False,False,2025-06-30T23:59:00Z
2025-01-10,EUR,USD,1.0405,ECB,False,False,2025-06-30T23:59:00Z
2025-01-10,GBP,USD,1.2476,BoE,False,False,2025-06-30T23:59:00Z
2025-01-13,USD,USD,1.0,ECB,False,False,2025-06-30T23:59:00Z
2025-01-13,EUR,USD,1.0414,ECB,False,False,2025-06-30T23:59:00Z
2025-01-13,GBP,USD,1.2498,BoE,False,False,2025-06-30T23:59:00Z
